PersonID	ContractStartDate	ContractEndDate
4	2018-07-03 00:00:00.000	2019-05-14 00:00:00.000
5	2017-11-03 00:00:00.000	2017-11-23 00:00:00.000
1	2017-12-23 00:00:00.000	2018-03-15 00:00:00.000
4	2018-02-12 00:00:00.000	2018-07-06 00:00:00.000
3	2017-10-23 00:00:00.000	2017-10-31 00:00:00.000
1	2018-08-03 00:00:00.000	2019-07-21 00:00:00.000
5	2017-11-11 00:00:00.000	2017-12-12 00:00:00.000
3	2017-10-19 00:00:00.000	2017-10-22 00:00:00.000
5	2017-10-18 00:00:00.000	2017-10-19 00:00:00.000
5	2017-10-21 00:00:00.000	2017-10-26 00:00:00.000
2	2018-01-16 00:00:00.000	2018-05-06 00:00:00.000
1	2018-01-16 00:00:00.000	2018-05-06 00:00:00.000
1	2018-01-25 00:00:00.000	2018-05-26 00:00:00.000
5	2018-02-20 00:00:00.000	2018-07-24 00:00:00.000
2	2018-01-20 00:00:00.000	2018-05-15 00:00:00.000
5	2018-03-17 00:00:00.000	2018-09-17 00:00:00.000
5	2018-06-23 00:00:00.000	2019-04-21 00:00:00.000
2	2018-02-22 00:00:00.000	2018-07-28 00:00:00.000
5	2017-12-29 00:00:00.000	2018-03-28 00:00:00.000
1	2018-04-13 00:00:00.000	2018-11-16 00:00:00.000
5	2017-11-08 00:00:00.000	2017-12-05 00:00:00.000
3	2017-11-26 00:00:00.000	2018-01-14 00:00:00.000
5	2017-12-07 00:00:00.000	2018-02-07 00:00:00.000
2	2017-10-21 00:00:00.000	2017-10-26 00:00:00.000
3	2018-01-17 00:00:00.000	2018-05-09 00:00:00.000
1	2018-01-02 00:00:00.000	2018-04-05 00:00:00.000
2	2017-11-19 00:00:00.000	2017-12-29 00:00:00.000
3	2017-10-30 00:00:00.000	2017-11-14 00:00:00.000
5	2018-01-31 00:00:00.000	2018-06-10 00:00:00.000
1	2017-10-18 00:00:00.000	2017-10-20 00:00:00.000
3	2017-11-10 00:00:00.000	2017-12-10 00:00:00.000
2	2017-12-06 00:00:00.000	2018-02-05 00:00:00.000
3	2018-03-30 00:00:00.000	2018-10-15 00:00:00.000
4	2018-04-04 00:00:00.000	2018-10-26 00:00:00.000
1	2017-12-20 00:00:00.000	2018-03-08 00:00:00.000
1	2017-12-16 00:00:00.000	2018-02-27 00:00:00.000
4	2018-01-11 00:00:00.000	2018-04-26 00:00:00.000
3	2017-10-17 00:00:00.000	2017-10-18 00:00:00.000
2	2017-10-21 00:00:00.000	2017-10-25 00:00:00.000
1	2018-03-16 00:00:00.000	2018-09-15 00:00:00.000
5	2017-11-22 00:00:00.000	2018-01-05 00:00:00.000
3	2017-10-26 00:00:00.000	2017-11-06 00:00:00.000
4	2017-10-26 00:00:00.000	2017-11-06 00:00:00.000
4	2018-01-16 00:00:00.000	2018-05-06 00:00:00.000
1	2018-02-08 00:00:00.000	2018-06-27 00:00:00.000
2	2017-10-22 00:00:00.000	2017-10-28 00:00:00.000
1	2017-11-17 00:00:00.000	2017-12-25 00:00:00.000
4	2017-11-05 00:00:00.000	2017-11-28 00:00:00.000
4	2017-10-20 00:00:00.000	2017-10-24 00:00:00.000
1	2018-03-20 00:00:00.000	2018-09-23 00:00:00.000
2	2017-10-18 00:00:00.000	2017-10-19 00:00:00.000
4	2018-03-19 00:00:00.000	2018-09-21 00:00:00.000
4	2018-01-23 00:00:00.000	2018-05-22 00:00:00.000
5	2018-02-26 00:00:00.000	2018-08-06 00:00:00.000
4	2018-01-21 00:00:00.000	2018-05-18 00:00:00.000
4	2017-11-09 00:00:00.000	2017-12-07 00:00:00.000
4	2017-10-24 00:00:00.000	2017-11-02 00:00:00.000
1	2017-12-05 00:00:00.000	2018-02-02 00:00:00.000
1	2017-12-25 00:00:00.000	2018-03-18 00:00:00.000
4	2018-02-18 00:00:00.000	2018-07-19 00:00:00.000
5	2017-10-19 00:00:00.000	2017-10-22 00:00:00.000
5	2018-02-08 00:00:00.000	2018-06-27 00:00:00.000
2	2017-10-24 00:00:00.000	2017-11-01 00:00:00.000
1	2017-11-11 00:00:00.000	2017-12-12 00:00:00.000
3	2017-11-26 00:00:00.000	2018-01-14 00:00:00.000
3	2018-01-03 00:00:00.000	2018-04-08 00:00:00.000
2	2017-10-23 00:00:00.000	2017-10-31 00:00:00.000
4	2017-12-13 00:00:00.000	2018-02-20 00:00:00.000
3	2018-04-13 00:00:00.000	2018-11-16 00:00:00.000
1	2017-10-29 00:00:00.000	2017-11-12 00:00:00.000
3	2017-10-25 00:00:00.000	2017-11-03 00:00:00.000
4	2017-12-06 00:00:00.000	2018-02-04 00:00:00.000
1	2017-11-18 00:00:00.000	2017-12-27 00:00:00.000
5	2017-11-16 00:00:00.000	2017-12-23 00:00:00.000
4	2017-11-21 00:00:00.000	2018-01-03 00:00:00.000
5	2017-11-23 00:00:00.000	2018-01-07 00:00:00.000
2	2017-11-24 00:00:00.000	2018-01-09 00:00:00.000
2	2017-10-25 00:00:00.000	2017-11-03 00:00:00.000
4	2017-11-29 00:00:00.000	2018-01-20 00:00:00.000
4	2017-11-25 00:00:00.000	2018-01-11 00:00:00.000
2	2018-05-10 00:00:00.000	2019-01-15 00:00:00.000
