ID_MARCA;MARCA;ID_LINHA;LINHA;DATA_VENDA;QTD_VENDA
1;BOTICÁRIO;1;CABELOS;10/08/2019;17
2;EUDORA;4;SOLAR;03/10/2019;5
5;BELEZA NA WEB;2;PERFUMARIA;25/01/2019;10
2;EUDORA;3;MAQUIAGEM;01/05/2019;18
4;VULT;2;PERFUMARIA;29/09/2019;7
5;BELEZA NA WEB;5;HIDRATANTES;24/03/2019;1
2;EUDORA;3;MAQUIAGEM;07/03/2019;18
3;QUEM DISSE BERENICE;1;CABELOS;28/07/2019;5
3;QUEM DISSE BERENICE;2;PERFUMARIA;03/06/2019;2
1;BOTICÁRIO;2;PERFUMARIA;23/03/2019;15
5;BELEZA NA WEB;5;HIDRATANTES;10/04/2019;7
3;QUEM DISSE BERENICE;4;SOLAR;25/10/2019;17
4;VULT;2;PERFUMARIA;27/10/2019;7
4;VULT;2;PERFUMARIA;24/10/2019;16
3;QUEM DISSE BERENICE;3;MAQUIAGEM;29/01/2019;15
1;BOTICÁRIO;3;MAQUIAGEM;06/02/2019;8
5;BELEZA NA WEB;3;MAQUIAGEM;21/10/2019;18
2;EUDORA;1;CABELOS;25/06/2019;12
2;EUDORA;3;MAQUIAGEM;08/01/2019;12
1;BOTICÁRIO;4;SOLAR;14/04/2019;9
3;QUEM DISSE BERENICE;4;SOLAR;21/12/2019;5
5;BELEZA NA WEB;3;MAQUIAGEM;04/10/2019;19
3;QUEM DISSE BERENICE;1;CABELOS;02/02/2019;20
2;EUDORA;5;HIDRATANTES;13/09/2019;4
5;BELEZA NA WEB;2;PERFUMARIA;19/08/2019;9
5;BELEZA NA WEB;4;SOLAR;27/10/2019;7
3;QUEM DISSE BERENICE;5;HIDRATANTES;23/03/2019;8
3;QUEM DISSE BERENICE;5;HIDRATANTES;26/07/2019;3
5;BELEZA NA WEB;1;CABELOS;31/08/2019;9
1;BOTICÁRIO;2;PERFUMARIA;13/05/2019;16
4;VULT;2;PERFUMARIA;22/03/2019;7
1;BOTICÁRIO;2;PERFUMARIA;20/07/2019;7
5;BELEZA NA WEB;4;SOLAR;02/10/2019;20
4;VULT;3;MAQUIAGEM;22/03/2019;12
2;EUDORA;3;MAQUIAGEM;17/07/2019;7
1;BOTICÁRIO;3;MAQUIAGEM;02/05/2019;17
1;BOTICÁRIO;4;SOLAR;24/07/2019;19
4;VULT;4;SOLAR;03/04/2019;7
3;QUEM DISSE BERENICE;1;CABELOS;19/08/2019;10
3;QUEM DISSE BERENICE;4;SOLAR;22/06/2019;20
3;QUEM DISSE BERENICE;2;PERFUMARIA;09/10/2019;9
2;EUDORA;1;CABELOS;01/10/2019;18
3;QUEM DISSE BERENICE;1;CABELOS;14/05/2019;20
2;EUDORA;5;HIDRATANTES;04/12/2019;18
3;QUEM DISSE BERENICE;4;SOLAR;27/12/2019;18
5;BELEZA NA WEB;2;PERFUMARIA;13/06/2019;2
1;BOTICÁRIO;2;PERFUMARIA;19/05/2019;15
5;BELEZA NA WEB;5;HIDRATANTES;13/08/2019;13
2;EUDORA;5;HIDRATANTES;09/01/2019;16
2;EUDORA;1;CABELOS;19/03/2019;14
5;BELEZA NA WEB;2;PERFUMARIA;10/09/2019;7
5;BELEZA NA WEB;5;HIDRATANTES;30/03/2019;3
5;BELEZA NA WEB;2;PERFUMARIA;26/03/2019;3
5;BELEZA NA WEB;5;HIDRATANTES;14/06/2019;15
2;EUDORA;4;SOLAR;05/08/2019;1
3;QUEM DISSE BERENICE;2;PERFUMARIA;01/06/2019;10
2;EUDORA;5;HIDRATANTES;09/02/2019;15
2;EUDORA;3;MAQUIAGEM;21/09/2019;14
1;BOTICÁRIO;2;PERFUMARIA;01/06/2019;15
2;EUDORA;4;SOLAR;01/11/2019;3
1;BOTICÁRIO;4;SOLAR;13/07/2019;15
1;BOTICÁRIO;1;CABELOS;20/10/2019;15
2;EUDORA;2;PERFUMARIA;27/09/2019;18
3;QUEM DISSE BERENICE;3;MAQUIAGEM;20/04/2019;5
5;BELEZA NA WEB;4;SOLAR;13/09/2019;20
2;EUDORA;3;MAQUIAGEM;15/09/2019;6
3;QUEM DISSE BERENICE;4;SOLAR;27/01/2019;6
3;QUEM DISSE BERENICE;4;SOLAR;23/06/2019;6
1;BOTICÁRIO;4;SOLAR;04/01/2019;15
5;BELEZA NA WEB;4;SOLAR;24/11/2019;15
4;VULT;1;CABELOS;02/05/2019;4
4;VULT;5;HIDRATANTES;28/09/2019;17
5;BELEZA NA WEB;5;HIDRATANTES;15/02/2019;19
4;VULT;1;CABELOS;27/02/2019;2
5;BELEZA NA WEB;1;CABELOS;02/08/2019;2
3;QUEM DISSE BERENICE;3;MAQUIAGEM;29/04/2019;11
1;BOTICÁRIO;2;PERFUMARIA;06/09/2019;6
5;BELEZA NA WEB;2;PERFUMARIA;29/05/2019;8
2;EUDORA;3;MAQUIAGEM;01/12/2019;2
4;VULT;1;CABELOS;09/08/2019;14
1;BOTICÁRIO;1;CABELOS;21/02/2019;15
5;BELEZA NA WEB;4;SOLAR;18/06/2019;11
2;EUDORA;1;CABELOS;21/01/2019;12
3;QUEM DISSE BERENICE;3;MAQUIAGEM;14/11/2019;16
2;EUDORA;4;SOLAR;09/04/2019;6
4;VULT;2;PERFUMARIA;16/10/2019;5
5;BELEZA NA WEB;5;HIDRATANTES;04/09/2019;6
3;QUEM DISSE BERENICE;2;PERFUMARIA;09/12/2019;6
3;QUEM DISSE BERENICE;4;SOLAR;11/11/2019;2
1;BOTICÁRIO;4;SOLAR;16/09/2019;14
1;BOTICÁRIO;2;PERFUMARIA;14/11/2019;14
1;BOTICÁRIO;1;CABELOS;18/11/2019;13
5;BELEZA NA WEB;3;MAQUIAGEM;28/10/2019;2
4;VULT;2;PERFUMARIA;09/06/2019;2
3;QUEM DISSE BERENICE;1;CABELOS;27/12/2019;6
1;BOTICÁRIO;5;HIDRATANTES;18/05/2019;14
5;BELEZA NA WEB;5;HIDRATANTES;04/04/2019;5
5;BELEZA NA WEB;3;MAQUIAGEM;14/09/2019;7
1;BOTICÁRIO;1;CABELOS;13/09/2019;19
1;BOTICÁRIO;3;MAQUIAGEM;17/01/2019;7
2;EUDORA;3;MAQUIAGEM;03/09/2019;3
4;VULT;4;SOLAR;22/10/2019;4
2;EUDORA;2;PERFUMARIA;06/04/2019;10
2;EUDORA;5;HIDRATANTES;09/04/2019;18
4;VULT;5;HIDRATANTES;06/03/2019;8
4;VULT;5;HIDRATANTES;25/07/2019;14
4;VULT;4;SOLAR;15/10/2019;12
1;BOTICÁRIO;1;CABELOS;31/05/2019;18
1;BOTICÁRIO;5;HIDRATANTES;29/01/2019;12
3;QUEM DISSE BERENICE;3;MAQUIAGEM;07/10/2019;10
4;VULT;4;SOLAR;12/06/2019;8
5;BELEZA NA WEB;1;CABELOS;31/10/2019;6
1;BOTICÁRIO;4;SOLAR;02/12/2019;9
